Art.-Nummer;Lokbezeichnung (sprechender Name, z.B. Glaskasten, plus m÷glichst vollst„ndige Betriebsnummer): 28-33 Zeichen auf CS2 sichtbar,(auf MS2 Auswahl m.NameDisplay);"Name Display MS+CS(MS2: 11-14,CS2:15 Buchst;auch klein+Umlaut)";Loktyp (Elok (E), Diesel (D), Dampf (S), kein (N));"NICHT PRGM:D=Delta (0 Fkt), M=Digital C90(<=1+4Fkt),M8=2 MotorolaDec;PRGM-BAR: LP=Zieco šberg.Dec oh.Snd, L3=šberg.Dec m.Snd, X3=Sp1-šberg.Dec m.Snd";Motorola Adresse;Symbol F0;Sym bol F1;Sym bol F2;Sym bol F3;Sym bol F4;Sym bol F5;Sym bol F6;Sym bol F7;Sym bol F8
26600b;EMD F7 Schlu˜wagen 'California Zephyr' Schnellzug Western Pacific;CAL. ZEPHYR;N;M;6;/;1;2;F;F;/;/;/;/
2662;BR 111 068-3 Zug 'neue Farben';BR 111 068-3;E;M;15;L;/;/;/;/;/;/;/;/
2663;DHG VW Werkszug Autotransport;DHG VW;D;M;70;L;/;/;/;/;/;/;/;/
2664;V 160 LOLLO Schnellzug DB;LOLLO;D;M;22;L;/;/;/;/;/;/;/;/
2665;BR 75 Reichsbahn-Personenzug;BR 75 057;S;M;75;L;/;/;/;/;/;/;/;/
2666;BR 80 Junkers Flugzeugtransport Zugpackung;BR 80 007;S;M;80;L;/;/;/;/;/;/;/;/
2667;BR 111 Lufthansa Airport-Express;BR 111 AIRPORT;E;M;17;L;/;/;/;/;/;/;/;/
2668;BR 103 Lufthansa Airport-Express;BR 103 AIRPORT;E;M;15;L;/;/;/;/;/;/;/;/
2670;D 101 Schwed. Personenzug Holzzug;D 101;E;M;4;L;/;/;/;/;/;/;/;/
26726;Rc 1012 Schwed.Staatsbahnen;RC 1012;E;M;10;L;/;/;/;K;/;/;/;/
26727;Rc 2 'Tiere des Nordens' Panoramazug Schwed.TKAB;RC 2 TKAB;E;M;13;L;/;/;/;/;/;/;/;/
26730;Be 6/8''' 13304, 'Krokodil' ;BE 6/8 13304;E;M;68;L;/;/;/;/;/;/;/;/
26750;BR 18.4, 3673, '75 Jahre Rheingold' Zugpackung;RHEINGOLD;S;M;18;L;R;C;G;K;/;/;/;/
26751;BR 18.4, '75 Jahre Rheingold' Sonderedition;RHEINGOLD;S;M;18;L;R;C;G;K;/;/;/;/
2680;K÷nig Ludwig TRISTAN-Lok;TRISTAN;S;M;77;L;/;/;/;/;/;/;/;/
