Art.-Nummer;Lokbezeichnung (sprechender Name, z.B. Glaskasten, plus m÷glichst vollst„ndige Betriebsnummer): 28-33 Zeichen auf CS2 sichtbar,(auf MS2 Auswahl m.NameDisplay);"Name Display MS+CS(MS2: 11-14,CS2:15 Buchst;auch klein+Umlaut)";Loktyp (Elok (E), Diesel (D), Dampf (S), kein (N));"NICHT PRGM:D=Delta (0 Fkt), M=Digital C90(<=1+4Fkt),M8=2 MotorolaDec;PRGM-BAR: LP=Zieco šberg.Dec oh.Snd, L3=šberg.Dec m.Snd, X3=Sp1-šberg.Dec m.Snd";Motorola Adresse;Symbol F0;Sym bol F1;Sym bol F2;Sym bol F3;Sym bol F4;Sym bol F5;Sym bol F6;Sym bol F7;Sym bol F8
2681;Pr. S 10 KPEV, Kaiserlicher Hofzug;PR. S 10;S;M;10;L;1;1;1;/;/;/;/;/
26830;BR 52 3321 +Dampf-Schneeschleuder;SCHNEE DB;S;M;69;L;E+R;F;C;1;/;/;/;/
26831;BR 86.106, Dampf-Schneeschleuder mit Lokomotive ™BB;SCHNEE ™BB;S;M;69;L;E+R;F;C;1;/;/;/;/
2690;Post-Zug;POST 5;D;M;26;L;/;/;/;/;/;/;/;/
26960;BR 96 Gt 2 x 4/4, Bayer. Gterzug Zugpackung;BR 96 GT 2X4/4;S;M;9;L;/;/;/;/;/;/;/;/
28451;BR MV 9 'Tiny Herma', 'Strukton' Zugpackung 'O + K';O + K;D;D;72;/;/;/;/;/;/;/;/;/
28452;DH 360 Niederl„nd.Bauzug;DH 360;D;D;72;/;/;/;/;/;/;/;/;/
28453;Em 3/3 Lok, Kiestransportzug, Typ Henschel DHG;EM 3/3;D;D;72;/;/;/;/;/;/;/;/;/
28456;Pr. T 13 KPEV, 7949, 'Berliner Vorortverkehr';PR. T 13;S;M;28;L;/;/;/;/;/;/;/;/
28461;DSB MY Sicherheits-Zug, d„n. DSB Bahndienst-Fahrzeug (ehem. Reihe MY);DSB MY;D;D;72;/;/;/;/;/;/;/;/;/
28462;Am 847.951-1, 'Gretli II' Fa.SERSA;GRETLI II;D;D;72;/;/;/;/;/;/;/;/;/
28471;Spanisch-Br÷tli-Bahn, Lok D1/3 'Limmat';LIMMAT;S;D;78;/;/;/;/;/;/;/;/;/
28501;BR 431 Henschel DHG 500 C, 'RAG Ruhrkohle AG' Zugpackung;RAG;D;D;72;/;/;/;/;/;/;/;/;/
28502;V 36274, 'RCT Royal Corps of Transportation';V 36 RCT;D;D;72;/;/;/;/;/;/;/;/;/
28505;Ae 6/6 SBB, 11432, 'Zrcher Nahverkehr';AE 6/6 11432;E;D;24;/;/;/;/;/;/;/;/;/
28506;S 3/6 18434, 'Rheingold';RHEINGOLD;S;D;78;/;/;/;/;/;/;/;/;/
28508;BR 086.521-2, 'Nahverkehr';BR 086 521-2;S;D;78;/;/;/;/;/;/;/;/;/
28524;Reihe MY 1100 d„n. DSB, Zugpackung;MY 1100;D;D;72;/;/;/;/;/;/;/;/;/
28531;BR 184.003-2, 'Rollende Landstra˜e' Europ. Transitzug;BR 184 003-2;E;D;24;/;/;/;/;/;/;/;/;/
28573;Lok Kl.III 'Esslingen' K.W.St.E. Wrttemberg;ESSLINGEN;S;D;78;/;/;/;/;/;/;/;/;/
28590;BB 9281 'Le Capitole' Schnellzug,SNCF,Ep.IV;BB 9281 SNCF;E;LP;24;L;/;/;/;K;/;/;/;/
28631;V 36 Autotransportzug, Lok Bauart Deutz (Werkslokomotive VW);DEUTZ VW;D;D;72;/;/;/;/;/;/;/;/;/
28703;Reihe Sa 944 Schwed. Staatsbahnen, 30er Jahre Histor.Personenzug;SA 944;S;D;78;/;/;/;/;/;/;/;/;/
2872;E 04 01, Pop Train BR 104;E 04 01;E;D;24;/;/;/;/;/;/;/;/;/
28725;Rc 3 1061 Schwed. Staatsbahnen;RC 3 1061;E;D;24;/;/;/;/;/;/;/;/;/
28730;Be 6/8''', 13304, 'Krokodil';BE 6/8 13304;E;D;24;/;/;/;/;/;/;/;/;/
2881;Pr. S 10 KPEV, Kaiserlicher Hofzug;PR. S 10;S;D;78;/;/;/;/;/;/;/;/;/
28830;BR 52 3321 mit Dampf-Schneeschleuder;SCHNEE DB;S;D;78;/;/;/;/;/;/;/;/;/
28831;BR 86.106 +Dampf-Schneeschleuder;SCHNEE ™BB;S;D;78;/;/;/;/;/;/;/;/;/
28971;Oldtimer-Kurzzug 'Glaskasten' 688.01, 98304 ™BB (Referenz fr 28972);GLASKASTEN;S;D;78;/;/;/;/;/;/;/;/;/
29108;'M„rklin I' V 60 Diesellok Startpackung;V 60 1212;D;LP;72;L;/;/;/;K;/;/;/;/
29120;'Thomas&seine Freunde' Startpackung;THOMAS;S;LP;78;/;/;/;/;K;/;/;/;/
29130;BR 185 Railion 'Europa' Startpackung;RAILION;E;LP;24;L;/;/;/;K;/;/;/;/
29135;BR 482 SBB 'Europa' Startpackung;BR 482;E;LP;24;L;/;/;/;K;/;/;/;/
29143;DHG 500 Hafenbahn Mlheim 'Diesel' Startpackung;DHG 500;D;D;72;/;/;/;/;/;/;/;/;/
29144;BR 80 'Dampf' Startpackung;BR 80;S;D;78;/;/;/;/;/;/;/;/;/
29145;BR 89;BR 89;S;D;78;/;/;/;/;/;/;/;/;/
29146;DHG 700 B:30881 'Italien' Diesel FS;DIESEL FS;D;D;72;/;/;/;/;/;/;/;/;/
29147;DHG 700 B:30881 'Niederlande' Diesel NS;DIESEL NS;D;D;72;/;/;/;/;/;/;/;/;/
29148;DHG 700 B:30881 'Schweiz' Diesel SBB;DIESEL SBB;D;D;72;/;/;/;/;/;/;/;/;/
29149;DHG 700 B:30881 'Frankreich' Diesel SNCF;DIESEL SNCF;D;D;72;/;/;/;/;/;/;/;/;/
2915;BR 89, Lok 3000;BR 89;S;D;78;/;/;/;/;/;/;/;/;/
29153;BR 185 'Kaufland' Startpackung;BR 185;E;LP;24;L;/;/;/;K;/;/;/;/
29154;KLVM Dampflok Hobby (29156,7,8 Referenzlok) Startsets;KLVM;S;LP;24;/;/;/;/;K;/;/;/;/
29155;DHG 700 B:30881;DHG;D;D;72;/;/;/;/;/;/;/;/;/
