
16:10:30.197982 can0  RX - -  1C00007E   [0] 
16:10:33.525433 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:33.782352 can0  RX - E  0C000783   [4]  00 00 00 02
16:10:33.788151 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:34.042354 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:34.065144 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:34.322360 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:34.341712 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:34.598361 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:34.611793 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:34.866362 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:34.884840 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:35.142367 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:35.160344 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:35.417242 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:35.430279 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:35.686372 can0  RX - E  0C000783   [4]  00 00 00 02
16:10:35.705718 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:35.962376 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:35.967612 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:36.222378 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:36.235444 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:36.490381 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:36.502693 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:36.758387 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:36.775930 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:37.030391 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:37.039715 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:37.294391 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:37.312234 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:37.566394 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:37.581839 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:37.838398 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:37.850240 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:38.106398 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:38.120904 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:38.378404 can0  RX - E  0C000783   [4]  00 00 00 02
16:10:38.387845 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:38.642406 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:38.658536 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:38.917225 can0  RX - -  0C000783   [4]  00 00 00 02
